iter	Passed	Remaining
0	16	8113
1	32	7994
2	45	7548
3	60	7528
4	74	7409
5	89	7394
6	104	7373
7	119	7353
8	134	7359
9	149	7315
10	164	7310
11	179	7281
12	193	7250
13	208	7236
14	222	7205
15	237	7182
16	252	7165
17	267	7169
18	282	7155
19	298	7163
20	314	7163
21	328	7141
22	343	7132
23	359	7132
24	374	7116
25	390	7112
26	405	7109
27	424	7151
28	439	7135
29	456	7151
30	470	7119
31	485	7101
32	499	7069
33	513	7040
34	529	7032
35	544	7020
36	558	6991
37	572	6961
38	588	6951
39	601	6921
40	617	6916
41	632	6898
42	647	6886
43	662	6867
44	677	6845
45	691	6823
46	705	6803
47	720	6788
48	735	6770
49	750	6756
50	765	6741
51	780	6726
52	795	6707
53	810	6690
54	826	6686
55	841	6672
56	857	6667
57	873	6657
58	888	6643
59	903	6627
60	918	6612
61	934	6601
62	949	6583
63	965	6578
64	981	6566
65	997	6556
66	1018	6580
67	1034	6570
68	1048	6551
69	1064	6541
70	1081	6534
71	1097	6523
72	1112	6508
73	1128	6496
74	1144	6484
75	1159	6467
76	1174	6453
77	1192	6449
78	1206	6431
79	1222	6415
80	1237	6402
81	1253	6390
82	1268	6375
83	1284	6361
84	1301	6353
85	1316	6336
86	1331	6319
87	1346	6302
88	1361	6287
89	1377	6275
90	1391	6255
91	1407	6239
92	1424	6233
93	1442	6228
94	1457	6214
95	1472	6198
96	1488	6182
97	1503	6169
98	1520	6157
99	1534	6138
100	1549	6119
101	1563	6099
102	1579	6088
103	1594	6071
104	1609	6055
105	1624	6038
106	1640	6025
107	1655	6007
108	1670	5991
109	1684	5972
110	1699	5957
111	1716	5945
112	1730	5927
113	1746	5911
114	1761	5896
115	1775	5878
116	1791	5863
117	1806	5847
118	1820	5828
119	1836	5816
120	1851	5800
121	1867	5785
122	1881	5767
123	1895	5748
124	1910	5730
125	1924	5712
126	1940	5698
127	1955	5684
128	1970	5667
129	1985	5649
130	1999	5631
131	2012	5611
132	2027	5594
133	2042	5577
134	2057	5562
135	2071	5543
136	2086	5527
137	2101	5512
138	2116	5496
139	2130	5477
140	2144	5459
141	2158	5440
142	2173	5426
143	2187	5409
144	2202	5392
145	2216	5374
146	2231	5359
147	2245	5341
148	2259	5322
149	2275	5309
150	2289	5291
151	2302	5272
152	2318	5258
153	2332	5241
154	2347	5224
155	2360	5205
156	2374	5188
157	2389	5172
158	2405	5159
159	2422	5146
160	2438	5134
161	2455	5122
162	2471	5109
163	2488	5097
164	2503	5083
165	2519	5068
166	2533	5052
167	2549	5038
168	2565	5025
169	2581	5010
170	2597	4996
171	2611	4979
172	2627	4966
173	2642	4950
174	2657	4935
175	2672	4919
176	2687	4904
177	2703	4891
178	2720	4878
179	2735	4863
180	2752	4850
181	2767	4834
182	2781	4818
183	2796	4803
184	2811	4787
185	2826	4770
186	2839	4752
187	2854	4736
188	2868	4719
189	2883	4704
190	2897	4688
191	2911	4670
192	2925	4653
193	2940	4637
194	2954	4620
195	2965	4599
196	2977	4579
197	2991	4562
198	3006	4547
199	3020	4530
200	3034	4513
201	3048	4497
202	3062	4480
203	3077	4466
204	3094	4452
205	3107	4435
206	3122	4419
207	3136	4403
208	3151	4388
209	3166	4372
210	3181	4357
211	3196	4342
212	3211	4327
213	3227	4313
214	3243	4299
215	3258	4284
216	3273	4268
217	3287	4252
218	3301	4235
219	3315	4219
220	3329	4202
221	3344	4188
222	3358	4171
223	3374	4157
224	3388	4141
225	3405	4129
226	3422	4115
227	3437	4100
228	3451	4084
229	3463	4066
230	3479	4051
231	3494	4036
232	3509	4022
233	3524	4006
234	3538	3989
235	3551	3973
236	3563	3954
237	3574	3935
238	3586	3916
239	3597	3896
240	3611	3881
241	3625	3864
242	3639	3849
243	3653	3833
244	3668	3818
245	3680	3799
246	3691	3781
247	3703	3763
248	3715	3744
249	3726	3726
250	3737	3708
251	3749	3689
252	3760	3671
253	3772	3653
254	3783	3635
255	3795	3617
256	3808	3601
257	3820	3583
258	3831	3565
259	3843	3547
260	3854	3529
261	3866	3512
262	3878	3494
263	3890	3477
264	3901	3460
265	3914	3443
266	3926	3426
267	3937	3409
268	3949	3391
269	3961	3374
270	3973	3357
271	3985	3340
272	3997	3323
273	4009	3307
274	4021	3290
275	4033	3273
276	4044	3256
277	4056	3239
278	4068	3222
279	4079	3205
280	4090	3188
281	4101	3170
282	4113	3154
283	4125	3137
284	4137	3121
285	4149	3104
286	4160	3087
287	4171	3070
288	4183	3054
289	4194	3037
290	4205	3020
291	4216	3003
292	4228	2987
293	4239	2970
294	4250	2953
295	4261	2937
296	4273	2921
297	4285	2904
298	4297	2888
299	4309	2872
300	4321	2856
301	4335	2842
302	4347	2826
303	4359	2810
304	4371	2794
305	4383	2779
306	4397	2764
307	4410	2749
308	4424	2734
309	4436	2718
310	4448	2703
311	4461	2688
312	4472	2672
313	4484	2656
314	4496	2640
315	4511	2626
316	4523	2611
317	4535	2595
318	4547	2580
319	4558	2564
320	4570	2548
321	4582	2533
322	4593	2517
323	4605	2501
324	4617	2486
325	4630	2471
326	4642	2456
327	4654	2441
328	4667	2425
329	4680	2411
330	4693	2396
331	4706	2381
332	4718	2366
333	4730	2351
334	4743	2336
335	4755	2321
336	4768	2306
337	4780	2291
338	4793	2276
339	4805	2261
340	4817	2246
341	4829	2231
342	4842	2216
343	4855	2201
344	4867	2186
345	4879	2171
346	4891	2156
347	4904	2141
348	4916	2127
349	4929	2112
350	4941	2097
351	4954	2083
352	4966	2068
353	4978	2053
354	4991	2038
355	5005	2024
356	5018	2010
357	5030	1995
358	5043	1980
359	5056	1966
360	5069	1952
361	5083	1937
362	5095	1923
363	5108	1908
364	5121	1894
365	5134	1879
366	5146	1865
367	5159	1850
368	5172	1836
369	5184	1821
370	5197	1807
371	5210	1792
372	5222	1778
373	5235	1763
374	5247	1749
375	5260	1734
376	5273	1720
377	5285	1705
378	5297	1691
379	5310	1676
380	5322	1662
381	5336	1648
382	5348	1633
383	5360	1619
384	5372	1604
385	5387	1591
386	5401	1577
387	5415	1563
388	5428	1549
389	5441	1534
390	5454	1520
391	5467	1506
392	5482	1492
393	5498	1479
394	5510	1464
395	5522	1450
396	5535	1436
397	5547	1421
398	5559	1407
399	5571	1392
400	5583	1378
401	5595	1364
402	5607	1349
403	5618	1335
404	5631	1320
405	5642	1306
406	5654	1292
407	5666	1277
408	5677	1263
409	5689	1248
410	5701	1234
411	5713	1220
412	5724	1205
413	5737	1191
414	5748	1177
415	5759	1163
416	5772	1148
417	5783	1134
418	5796	1120
419	5808	1106
420	5820	1092
421	5832	1077
422	5843	1063
423	5855	1049
424	5867	1035
425	5879	1021
426	5891	1007
427	5903	993
428	5914	978
429	5926	964
430	5937	950
431	5949	936
432	5961	922
433	5972	908
434	5983	894
435	5995	880
436	6007	866
437	6020	852
438	6032	838
439	6044	824
440	6056	810
441	6068	796
442	6080	782
443	6092	768
444	6104	754
445	6115	740
446	6127	726
447	6139	712
448	6151	698
449	6163	684
450	6174	670
451	6186	656
452	6197	643
453	6209	629
454	6221	615
455	6232	601
456	6243	587
457	6255	573
458	6267	559
459	6279	546
460	6291	532
461	6303	518
462	6315	504
463	6326	490
464	6338	477
465	6350	463
466	6361	449
467	6374	435
468	6388	422
469	6404	408
470	6416	395
471	6428	381
472	6441	367
473	6452	353
474	6464	340
475	6476	326
476	6488	312
477	6499	299
478	6511	285
479	6523	271
480	6536	258
481	6547	244
482	6559	230
483	6570	217
484	6582	203
485	6594	189
486	6606	176
487	6617	162
488	6629	149
489	6640	135
490	6652	121
491	6664	108
492	6676	94
493	6688	81
494	6699	67
495	6711	54
496	6723	40
497	6734	27
498	6747	13
499	6758	0
